Year,Quarter,Energy,"IndustrialProcesses",Agriculture,Waste,"NationalInventoryTotal (excl.LULUCF)",LULUCF b,"Total incl.LULUCF",,,,
"",,Electricity,"Stationaryenergyexcl.electricity",Transport,"FugitiveEmissions",Deforestation,"Afforestationandreforestation",,,,,
"",September,47.5,19.3,18.5,9.4,6.9,23.3,3.6,128.4,21.4,-3.3,146.6
"",December,44.2,19.3,19.1,8.8,6.8,23.3,3.6,125.2,21.4,-3.3,143.4
"",March,45.3,18.6,18.1,8.2,6.6,22.8,3.5,123.1,21.1,-2.7,141.5
"",June,46.8,19.2,18.2,9.0,7.1,23.0,3.5,126.8,21.4,-2.7,145.4
"",September,48.3,20.0,18.9,9.1,7.5,22.5,3.3,129.8,21.6,-2.8,148.6
"",December,46.0,19.9,19.6,8.4,7.6,22.5,3.3,127.3,21.6,-2.8,146.1
"",March,45.2,19.0,18.5,7.9,7.5,22.0,3.3,123.3,16.1,-3.4,136.0
"",June,46.2,19.5,18.7,8.6,7.4,22.3,3.3,125.9,16.3,-3.4,138.8
"",September,48.6,20.2,19.7,9.1,8.1,22.4,3.2,131.4,16.4,-3.4,144.4
"",December,46.5,20.0,20.4,8.5,8.1,22.4,3.2,129.1,16.4,-3.4,142.1
"",March,49.6,19.1,19.2,7.9,7.7,22.2,3.2,128.9,19.1,-3.5,144.6
"",June,48.8,19.7,19.4,8.8,7.6,22.2,3.2,129.6,19.1,-3.5,145.3
"",September,50.3,20.9,20.2,9.3,7.7,22.2,3.2,133.8,19.4,-3.5,149.7
"",December,47.6,20.9,20.5,8.9,7.6,22.2,3.2,130.9,19.4,-3.5,146.8
"",March,48.2,19.8,19.1,8.2,7.6,21.7,3.1,127.8,23.1,-3.8,147.1
"",June,48.3,20.6,20.0,9.2,7.8,22.0,3.2,130.9,23.4,-3.8,150.4
"",September,50.3,20.6,19.8,9.5,7.9,22.5,3.1,133.8,23.6,-3.9,153.6
December,48.4,20.4,21.0,9.0,7.8,22.5,3.1,132.3,23.6,-3.9,152.0,
March,50.0,19.4,19.8,8.4,7.5,22.0,3.1,130.2,22.2,-3.3,149.1,
June,50.3,20.7,19.8,9.5,7.8,22.3,3.1,133.5,22.5,-3.4,152.6,
Year,Quarter,Energy,"IndustrialProcesses",Agriculture,Waste,"NationalInventoryTotal (excl.LULUCF)",LULUCF b,"Total incl.LULUCF",,,,
"",,Electricity,"Stationaryenergyexcl.electricity",Transport,"FugitiveEmissions",Deforestation,"Afforestationandreforestation",,,,,
"",September,51.3,20.9,20.5,10.1,8.2,21.8,3.2,136.0,22.7,-3.4,155.4
"",December,50.0,21.2,21.3,9.5,8.3,21.8,3.2,135.5,22.7,-3.4,154.8
"",March,50.8,20.0,20.5,9.0,8.1,21.4,3.2,132.9,19.5,-4.2,148.2
"",June,48.7,20.9,20.7,10.1,8.3,21.6,3.2,133.5,19.7,-4.3,149.0
"",September,52.9,21.3,21.2,10.8,8.4,21.8,3.3,139.7,19.9,-4.3,155.2
"",December,49.7,21.3,21.7,9.3,8.3,21.8,3.3,135.3,19.9,-4.3,150.9
"",March,51.1,20.3,20.8,9.1,8.1,21.5,3.3,134.2,14.1,-4.6,143.7
"",June,49.9,21.4,21.2,9.8,8.3,21.5,3.3,135.4,14.1,-4.6,144.9
"",September,53.6,22.3,21.4,9.9,8.9,21.1,3.3,140.6,14.3,-4.7,150.2
"",December,50.6,21.9,21.9,10.0,8.3,21.1,3.3,137.1,14.3,-4.7,146.7
"",March,50.8,19.7,20.5,8.9,6.6,20.7,3.2,130.3,12.0,-4.7,137.7
"",June,49.8,20.9,20.8,10.3,7.1,20.9,3.3,133.1,12.2,-4.8,140.5
"",September,49.8,21.6,21.7,10.2,8.1,20.5,3.4,135.3,12.3,-4.8,142.8
"",December,49.7,21.9,22.1,9.4,8.6,20.5,3.4,135.7,12.3,-4.8,143.1
"",March,50.9,21.7,20.7,9.4,8.5,20.1,3.3,134.7,11.8,-5.6,140.8
"",June,48.4,22.4,21.3,10.1,8.7,20.3,3.3,134.6,11.9,-5.7,140.7
"",September,49.5,23.3,21.8,10.6,8.7,21.3,3.3,138.5,12.0,-5.8,144.8
December,45.7,22.7,22.8,10.1,8.6,21.3,3.3,134.4,12.0,-5.8,140.6,
March,49.2,21.2,21.6,8.6,8.5,20.8,3.2,133.1,9.5,-6.5,136.1,
June,48.3,22.8,22.3,9.6,8.3,21.1,3.2,135.6,9.6,-6.6,138.6,
"",Quarter,Energy,"2012-13IndustrialProcesses","2011-12Agriculture",Waste,"NationalInventoryTotal (excl.LULUCF)",LULUCF b,"Total incl.LULUCF",,,,
"",,Electricity,"Stationaryenergyexcl.electricity",Transport,"FugitiveEmissions",Deforestation,"Afforestationandreforestation",,,,,
"",September,49.4,23.5,22.5,10.2,8.5,22.0,2.9,139.0,9.7,-6.6,142.1
"",December,47.7,22.9,22.9,9.9,7.7,22.0,2.9,136.0,9.7,-6.6,139.1
"",March,48.8,21.5,22.3,9.2,7.6,21.7,2.9,134.0,8.2,-5.4,136.7
"",June,47.2,22.3,22.6,10.6,7.4,21.7,2.9,134.7,8.2,-5.4,137.4
"",September,45.4,24.0,23.2,11.5,7.9,22.6,2.9,137.5,8.3,-5.5,140.3
"",December,44.4,23.6,24.0,11.5,7.6,22.6,2.9,136.6,8.3,-5.5,139.3
"",March,46.0,22.0,22.4,10.9,7.5,22.1,2.9,133.7,8.3,-4.7,137.3
"",June,45.0,22.8,23.1,11.4,7.5,22.3,2.9,135.1,8.4,-4.8,138.7
"",September,43.2,23.6,23.2,11.3,7.7,22.6,2.9,134.6,8.5,-4.8,138.3
December,42.3,23.8,23.7,12.1,7.5,22.6,2.9,135.0,8.5,-4.8,138.6,
March,,,,,,,,,,,,
June,,,,,,,,,,,,
